duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1.0,-5.0788,-27.4131,12.4684,-56.9243,129.1519,-4.3945,17.4566
0.5,3.662194210746309,-28.707374570347987,6.3846485139951845,-74.1771695402031,118.72966339244647,-4.578564228416916,5.186701586321985
-1      , 아령 1KG 잡기 직전
1.0,-15.3696,-25.7724,21.5169,-60.8249,60.8094,-7.7788,-11.2304
1.0,-20.3117,-22.3625,24.3706,-55.7549,65.5698,-11.7843,-8.8199
1.0,-6.4062,-36.7505,27.8694,-108.7541,-13.1888,1.7519,1.1411
0.5,-6.4062,-36.7505,27.8694,-108.7541,-13.1888,1.7519,1.1411
1.0,24.884444639244204,-32.88905874197442,31.460119004203037,-137.8184152658354,36.85440925915231,-7.291698386653075,-39.11612657365161
1.0,0.0,-53.31724989484915,-0.3445295794257009,-67.3816,-35.0,11.04507497027986,10.0
1.0,-9.5526,-33.1975,-50.7447,-30.537,-29.999999999999996,3.5684,10.0
1.0,2.2431858943084624,-38.83555997942271,23.72603586163174,-97.21668562915967,88.60988253638081,8.525774612534326,6.9461871975370615
-1      , 아령 2KG 잡기 직전
1.0,-25.124199316486575,-8.873397373191063,34.54935504638869,-50.21402116526538,69.71750451151847,-21.864069462192187,15.79071683380547
1.0,-25.124199316486575,-8.873397373191063,34.54935504638869,-50.21402116526538,69.71750451151847,-21.864069462192187,15.79071683380547
1.0,-3.6171341657855063,-18.71144203721323,11.343047321777242,-107.65294965158537,37.54276486636442,9.30195556480285,5.248073304140923
1.0,-17.954646765638042,-18.757513735798874,-14.376884928646264,-75.94982156254834,163.36614608772499,-2.9252884257064156,-11.074741492825009
0.5,-17.954646765638042,-18.757513735798874,-14.376884928646264,-75.94982156254834,163.36614608772499,-2.9252884257064156,-11.074741492825009
1.0,35.32483355873459,-33.928653070059895,5.925015568105462,-126.89791156889004,-19.617144535586316,1.061945115480056,-39.66079021631443
1.0,10.578911218409935,-30.40660721818322,20.525407859887853,-96.18744381135866,-24.647841572957162,-2.2365196093222184,14.684414296327246
0.5,-19.03735173714017,-21.383710043217214,22.78985677829151,-63.10847951248935,-31.058690019148134,-1.6334295943745194,22.970827466853446
1.0,-24.781930476047183,-19.47840031366837,23.20786475753908,-56.81088395298103,-32.314771664329044,-0.9578179646271525,22.746387599059297
1.0,7.648751188362951,-35.04846635568274,25.736387979915918,-114.11919237317984,46.29818365564384,3.1976582749395215,7.876371408700741
1.0,-5.0788,-27.4131,12.4684,-56.9243,129.1519,-4.3945,17.4566
-1      , 아령 3KG 잡기 직전
1.0,-5.0788,-27.4131,12.468400000000003,-56.9243,129.1519,-4.3945,17.4566
1.5,-6.1407792083120984,-27.48620354783673,12.274779673173983,-57.653498188156696,129.21336152069256,-4.576283879226804,20.53740633587136
1.5,-6.1407792083120984,-27.48620354783673,12.274779673173983,-57.653498188156696,129.21336152069256,-4.576283879226804,20.53740633587136
1.5,-6.1407792083120984,-27.48620354783673,12.274779673173983,-57.653498188156696,129.21336152069256,-4.576283879226804,20.53740633587136
1.0,-6.1407792083120984,-27.48620354783673,12.274779673173983,-80.6535,129.21336152069256,-4.576283879226804,20.53740633587136
1.5,3.134808766936522,-44.77338889713723,48.72453951420239,-107.44958138879096,-8.883231255638886,14.565145054962617,-19.661204929201023
1.0,4.10881867703538,-39.33855452398127,45.0,-117.07051228446467,-10.68752532423631,19.103321493918916,10.480081208225235
1.0,-0.3281569067538564,-32.69501558793135,49.80315928108983,-95.61764066041943,-2.4420386795634257,15.578671786196352,-20.364130372764084
-1      , 아령 반대팔로 건네주기
1.0,-9.246678794409943,-32.71306902281177,15.879587818383763,-94.92898417897429,-26.61581128663422,2.1536398974620616,-26.271872431799608
1.2,-33.16901853131045,-43.38824963342346,-42.78388006518769,-79.14340322629673,-10.239837818582469,2.8207437519139784,-1.2735466767104822
0.4,-29.59350172572195,-42.15821485395388,-43.52440790054168,-122.29717235990422,-13.394297202544546,-3.382798838070657,4.698759909295833
0.2,-30.90579732949642,-42.234734070506065,-46.30311275266882,-128.42212499571707,-4.724624913101258,-4.419953359988207,6.467207887215344
1.0,-30.90579732949642,-42.234734070506065,-46.30311275266882,-128.42212499571707,-4.724624913101258,-4.419953359988207,6.467207887215344
1.0,-26.937127011330677,-42.21738943103853,-24.104684334138614,-81.23138764954054,14.476484639608865,1.7637088543769328,-3.019842195664019
2.0,-24.337599171133608,-22.872696224901485,41.126336623333536,-76.72814468406537,58.46473061275816,-9.531708893120259,-3.73259118629659
