duration,joint_1,joint_2
1.0,6.4978,0.3944
0.5,6.4978,0.3944
-1, 아령 1KG 잡기 직전
1.0,32.7997,-9.524
1.0,32.6551,-9.379
1.0,25.2837,-8.6627
0.5,25.2837,-8.6627
1.0,36.67471923877085,-4.120933398607589
1.0,25.016453110071808,-32.40853105404907
1.0,25.016453110071808,-32.40853105404907
-1, 아령 2KG 잡기 직전
1.0,31.134774682477577,-2.123618945539675
1.0,31.134774682477577,-2.123618945539675
1.0,31.134774682477577,-2.123618945539675
1.0,21.917599783547473,-11.563072070269875
1.0,23.09136490448167,-16.02132402326745
1.0,23.09136490448167,-16.02132402326745
0.5,26.224240408424382,-5.087730273579956
1.0,26.224240408424382,-5.087730273579956
1.0,26.224240408424382,-5.087730273579956
1.0,22.18410683999147,0.5152970700098988
1.0,22.18410683999147,0.5152970700098988
1.0,31.134774682477577,-2.123618945539675
-1, 아령 3KG 잡기 직전
1.0,33.05419252516465,10.897377147838158
1.0,33.05419252516465,10.897377147838158
2.0,20.023698573924186,9.981117382239345
2.0,19.510530731196923,27.433998241115507
2.0,19.510530731196923,27.433998241115507
1.0,30.00070210186483,2.5851212887007393
1.0,30.00070210186483,2.5851212887007393
-1, 아령 반대팔로 건네주기
1.2,2.8698407965550006,-32.28191637853422
0.8,2.886975886661985,-39.75838456946399
0.8,1.236950475727385,-8.16714128886654
1.0,0.43737911253845047,0.7152482418791846
1.0,0.43737911253845047,0.7152482418791846
1.0,3.61465863848171,0.660885912526765
1.0,6.4978,0.3944
